runtime,budget_in_USD,imdbVotes,IMDBscore,TomatoesScore,Metascore,Domestic_box_office,Theater_num,movie_2_before,movie_1_before,movie_0_before,Actor_2_before,Actor_1_before,Actor_0_before
164,70000000,198563,0.76,0.78,0.74,47379090,1498.0,82,63,50,44.5,31.5,19.0
100,35000000,72004,0.62,0.74,0.62,63939454,2912.0,28,86,100,11.5,49.75,80.0
109,45000000,124975,0.69,,0.49,74494381,2649.0,2,6,3,5.5,5.5,3.75
104,950000,146333,0.71,0.67,0.58,1024640,152.0,66,67,35,5.0,7.0,4.5
135,40000000,46588,0.7,0.46,0.53,29077547,2437.0,52,100,61,16.75,27.5,31.25
90,7900000,27438,0.68,0.34,0.49,672243,106.0,0,31,62,4.5,4.75,21.0
96,32000000,210507,0.75,0.87,0.81,31493782,1348.0,18,41,100,14.25,17.5,38.25
125,72000000,161704,0.7,0.61,0.58,62647540,2448.0,43,100,64,6.5,21.5,42.25
108,40000000,107416,0.53,0.25,0.41,32064800,3111.0,45,100,64,11.75,16.25,40.0
136,30000000,111270,0.73,0.64,0.57,67264877,2574.0,35,68,100,23.5,3.75,65.5
85,26000000,105278,0.65,0.79,0.71,57891803,3134.0,34,80,100,28.0,16.5,16.75
129,25000000,125035,0.74,0.83,0.82,33579798,1387.0,32,34,99,15.5,10.0,25.75
128,50000000,120306,0.69,0.73,0.76,50824620,1775.0,44,75,90,16.0,15.5,15.5
110,475000,94659,0.74,0.79,0.72,2075743,45.0,68,71,67,12.0,3.5,0.0
135,30000000,78328,0.67,0.62,0.69,12712093,811.0,49,76,100,33.5,24.5,31.0
118,88000000,110020,0.59,0.38,0.51,37899638,3098.0,37,100,50,0.0,0.0,0.0
91,75000000,121733,0.63,0.64,0.64,128200012,3776.0,30,67,97,11.0,14.0,15.25
109,,133641,0.75,0.47,0.55,345821,29.0,43,80,100,14.25,35.0,22.0
101,43000000,52158,0.55,0.17,0.31,82931301,3424.0,100,87,76,31.5,53.75,22.0
94,60000000,50361,0.55,0.06,0.34,82571173,3211.0,28,71,100,7.0,38.25,27.0
97,43000000,81885,0.47,0.11,0.34,24409722,3203.0,55,100,80,31.25,29.75,21.0
116,2000000,60120,0.69,0.48,0.56,3337931,956.0,52,100,79,9.75,15.0,13.0
118,53000000,64587,0.57,0.3,0.37,55849401,3216.0,37,84,84,27.75,37.75,22.0
111,,83813,0.65,0.16,0.25,84738,18.0,63,100,97,13.25,15.75,8.25
119,19000000,110589,0.67,0.2,0.46,75072454,3045.0,52,100,100,31.25,45.75,53.75
144,88000000,166310,0.8,0.8,0.69,61649911,2820.0,53,100,92,19.75,32.75,54.25
95,56000000,80303,0.56,0.2,0.3,113006880,3181.0,15,73,100,22.5,44.25,39.75
77,40000000,223225,0.74,0.84,0.83,53359111,3204.0,68,100,85,18.5,35.5,34.5
129,75000000,85839,0.59,0.26,0.47,45575336,3520.0,60,100,72,0.0,16.5,39.25
93,4000000,217348,0.66,0.37,0.4,87025093,2949.0,24,69,100,17.25,45.75,84.0
81,150000000,77745,0.58,0.37,0.48,135386665,3658.0,30,72,100,8.5,14.75,7.75
106,10000000,92024,0.72,0.87,0.79,13744960,433.0,98,74,45,9.75,12.5,29.0
99,1000000,63248,0.63,0.53,0.54,16186348,1761.0,20,43,100,7.75,41.0,87.0
127,50000000,62248,0.6,,0.36,10169202,2223.0,45,100,95,6.0,8.5,8.25
93,7000000,89707,0.75,0.93,0.8,31501218,929.0,0,0,0,28.75,41.75,4.75
95,25000000,32703,0.29,0.04,0.18,2405420,985.0,46,83,72,4.25,19.0,15.25
114,7000000,116641,0.74,0.9,0.88,28750530,1239.0,19,42,34,0.0,3.25,4.75
108,30000000,27144,0.7,0.52,0.49,8535575,888.0,100,61,51,47.5,33.75,26.25
94,84000000,48668,0.22,0.06,0.2,17018422,2966.0,64,100,67,11.5,15.75,16.5
112,,49258,0.65,0.44,0.57,11304403,1011.0,77,88,78,24.25,11.5,25.25
112,,6241,0.61,,0.59,17380866,1661.0,28,78,100,5.5,5.5,4.25
98,55000000,143516,0.63,0.37,0.53,89706988,3424.0,19,75,100,31.25,34.75,36.0
95,58000000,92931,0.67,0.55,0.47,48318130,3543.0,40,100,90,21.75,28.25,15.0
104,43000000,99442,0.65,0.37,0.47,47907715,2784.0,41,90,100,17.75,16.75,20.5
113,52000000,102207,0.66,0.35,0.44,34636443,2183.0,17,59,100,8.0,50.0,50.0
91,,9838,0.66,0.56,0.64,1415082,73.0,97,100,0,0.0,0.0,4.25
117,9791200,65735,0.73,0.89,0.83,3647381,90.0,31,41,83,10.0,16.25,10.5
126,35000000,36901,0.73,0.69,0.68,18324242,2555.0,61,100,87,7.0,15.75,14.0
123,45000000,64228,0.64,0.29,0.45,26850426,2517.0,37,79,70,7.0,16.0,10.75
94,,33598,0.58,0.4,0.46,35428675,1853.0,23,53,100,23.25,9.75,46.0
101,50000000,41940,0.48,0.41,0.47,66010682,3521.0,35,92,100,18.0,35.25,18.5
106,1000000,21069,0.7,0.87,0.8,2678010,143.0,61,47,55,19.75,11.0,32.75
97,30000000,32935,0.51,0.12,0.3,15007991,2195.0,42,82,100,0.0,25.0,18.5
104,30000000,40070,0.62,0.65,0.56,42071069,3275.0,61,100,79,6.5,10.5,5.0
121,135000000,49506,0.5,0.12,0.35,32116746,3495.0,29,70,100,17.25,32.5,22.75
106,14000000,9733,0.64,0.55,0.54,32647042,3188.0,30,100,75,17.0,18.0,16.75
103,29000000,103414,0.71,0.44,0.44,6301131,1331.0,27,78,100,13.25,14.5,18.0
96,20000000,40255,0.23,0.01,0.09,5178569,2124.0,41,100,85,18.0,24.25,19.0
80,30000000,52337,0.65,0.47,0.45,51386611,3020.0,0,0,0,15.25,21.25,24.75
104,2000000,47032,0.74,0.86,0.73,1903434,158.0,54,66,42,0.0,0.0,11.0
107,30000000,64613,0.66,0.41,0.48,21835784,2502.0,35,100,98,28.75,18.75,27.25
106,32000000,11338,0.69,0.64,0.59,33022286,2735.0,0,0,0,14.75,21.0,25.75
102,85000000,65251,0.48,0.24,0.34,63313159,3188.0,47,100,63,25.0,40.25,24.25
110,50000000,85335,0.54,0.2,0.44,75941727,3341.0,40,88,100,12.0,29.25,24.0
103,18000000,56464,0.63,0.52,0.56,60062868,2469.0,31,64,83,26.0,27.25,39.0
95,32000000,26808,0.47,0.12,0.27,82674398,2810.0,70,75,100,13.0,55.25,26.25
97,70000000,48240,0.55,0.2,0.35,42996140,2815.0,0,38,100,28.75,28.75,52.75
81,1500000,69310,0.74,0.93,0.82,7372734,151.0,79,66,73,11.25,18.25,16.25
127,25000000,49006,0.78,0.82,0.68,5128124,251.0,43,84,0,7.0,6.75,10.75
132,80000000,20354,0.67,0.37,0.48,10166502,920.0,49,100,65,2.5,12.25,29.0
96,900000,14496,0.64,0.21,0.29,381420,366.0,76,80,99,4.25,6.0,11.75
116,5500000,12843,0.57,0.16,0.36,50406346,1703.0,20,63,100,4.25,14.0,43.0
116,2800000,36623,0.74,0.82,0.68,22202809,1016.0,15,100,93,11.75,35.25,31.5
107,25000000,16261,0.65,,0.47,872142,92.0,14,38,74,12.25,14.75,21.5
102,30000000,14702,0.52,0.35,0.43,49772522,3185.0,43,60,100,24.75,6.25,7.5
128,,19624,0.73,0.56,0.59,828699,125.0,64,70,96,7.25,19.0,20.75
120,19300000,29970,0.65,0.31,0.26,66453,9.0,24,51,63,6.0,13.0,18.75
96,12500000,42519,0.68,0.75,0.65,21816,2.0,85,100,99,20.0,8.25,15.5
95,3200000,28055,0.63,0.57,0.43,56131,146.0,10,10,16,0.0,0.0,0.0
117,40000000,41369,0.52,0.16,0.45,30981850,1666.0,43,100,86,11.5,29.0,30.25
103,,16770,0.59,0.47,0.53,68820,2.0,7,26,34,0.0,0.0,0.0
118,10000000,57121,0.67,0.42,0.53,4283255,1007.0,0,0,0,15.5,25.0,15.75
107,,16770,0.71,0.56,0.57,1822428,127.0,37,37,50,0.0,11.75,0.0
87,,9115,0.47,0.11,0.25,213511408,4250.0,17,17,12,0.0,29.0,0.0
92,26052,21127,0.66,0.14,0.24,12667,7.0,58,59,72,18.5,9.5,17.75
100,18000000,33046,0.36,0.04,0.27,29511112,2972.0,46,100,100,4.25,28.75,16.25
139,14200000,20917,0.74,0.5,0.46,74205,20.0,37,29,22,5.0,2.75,0.0
120,26000000,25797,0.75,0.63,0.55,15331289,1810.0,47,53,100,0.0,0.0,0.0
100,10000000,26780,0.55,0.06,0.27,16535005,2090.0,42,100,97,44.75,17.75,32.5
97,38000000,28779,0.5,,0.31,19294901,2805.0,57,100,80,22.25,22.5,29.75
100,20000000,40946,0.68,0.63,0.64,7535331,517.0,66,64,74,15.75,13.0,12.5
105,30000000,56849,0.56,0.47,0.52,25473093,2657.0,31,100,95,35.0,62.25,43.25
130,60000000,28913,0.69,,0.65,2070920,779.0,26,57,100,0.0,0.0,0.0
112,1500000,10316,0.67,0.47,0.59,712294,74.0,76,39,26,7.0,0.0,14.0
130,,56540,0.65,0.75,0.6,32880591,2840.0,48,86,100,6.5,10.0,9.75
108,6800000,17275,0.7,0.37,0.41,49526,28.0,18,36,27,6.25,9.75,13.5
98,,22900,0.6,0.51,0.55,24381334,2501.0,49,100,75,13.25,24.5,32.0
83,22000000,45667,0.47,0.09,0.23,22400154,3127.0,19,49,100,13.25,25.0,30.0
98,30000000,29005,0.59,0.36,0.46,43894863,2505.0,50,100,82,22.75,46.25,29.0
91,16969500,29896,0.71,0.45,0.48,202200,18.0,35,57,79,0.0,0.0,18.0
100,40000000,21731,0.54,0.09,0.35,19699706,2422.0,22,100,85,35.25,34.0,40.75
91,,6586,0.36,0.07,0.09,35657,44.0,5,14,9,6.75,7.75,7.75
117,30000000,9633,0.53,0.3,0.55,251495,110.0,0,29,0,0.0,0.0,0.0
99,169000,31303,0.68,0.56,0.53,1619466,76.0,25,31,20,21.25,23.75,18.75
97,,20675,0.58,0.57,0.67,454711,31.0,19,92,100,5.0,22.75,14.25
96,4000000,20008,0.66,0.72,0.69,1328679,330.0,81,71,100,9.25,12.25,10.5
102,22000000,74599,0.66,0.59,0.61,12482775,1510.0,27,55,40,15.25,20.25,7.25
103,1000000,38919,0.74,0.77,0.66,9015303,656.0,60,100,88,5.75,5.75,23.0
105,35000000,38027,0.59,0.42,0.49,68915888,3147.0,26,100,100,21.25,22.0,42.75
90,1000000,24866,0.59,0.24,0.39,10047674,1789.0,32,100,82,2.25,0.0,0.0
128,,8643,0.64,0.54,0.57,1315701,74.0,100,75,57,27.0,18.5,0.0
83,14000000,23760,0.51,0.13,0.38,16298046,1703.0,49,100,64,7.25,24.75,49.25
94,,41663,0.78,0.7,0.51,1305,1.0,52,0,0,0.0,1.5,0.0
82,10000000,10675,0.63,0.47,0.61,131719,5.0,39,29,51,8.75,0.0,2.75
85,15000,4620,0.65,,0.73,194523,7.0,0,38,0,0.0,25.0,0.0
104,2500000,9463,0.65,0.32,0.45,305688,24.0,18,55,0,2.0,1.25,0.75
89,20000000,28503,0.42,0.13,0.32,46752382,3052.0,43,99,100,0.0,35.5,0.0
105,22000000,38097,0.62,0.5,0.58,22827153,1837.0,49,100,76,37.25,58.5,41.25
101,80000000,18037,0.42,0.06,0.24,1900451,816.0,38,93,100,0.0,0.0,25.0
107,,6028,0.66,0.24,0.54,85410,25.0,17,0,22,12.5,12.0,12.0
101,10000000,45305,0.55,0.07,0.3,56094360,2279.0,36,100,72,10.75,49.75,8.5
118,12000000,20481,0.69,0.74,0.63,18761993,1166.0,73,98,61,36.25,26.75,21.5
84,,21106,0.76,0.77,0.52,385373,35.0,50,35,13,11.5,2.25,23.25
92,1000000,6699,0.54,0.26,0.21,45148,10.0,11,8,5,0.0,11.5,16.5
80,16000000,4223,0.42,0.05,0.26,3102550,1621.0,49,100,62,7.25,9.0,8.25
106,,22619,0.64,0.6,0.62,10284523,493.0,79,84,84,29.75,24.25,22.75
76,35000000,19006,0.56,0.32,0.45,19478106,2016.0,58,64,77,14.75,51.25,19.25
99,12000000,6408,0.73,0.58,0.58,627844,41.0,100,0,50,4.5,21.0,11.0
83,33000000,23701,0.56,0.12,0.33,8330720,2040.0,41,46,50,13.25,24.5,12.75
117,,13619,0.78,0.9,0.77,5529144,91.0,20,21,22,0.0,0.0,0.0
94,3560760,11920,0.68,0.89,0.8,1253413,51.0,0,0,36,0.0,4.75,5.25
91,2000000,33486,0.73,0.82,0.76,3885134,160.0,100,37,45,11.75,0.0,11.5
87,,8092,0.58,0.07,0.28,152665,64.0,12,9,6,3.5,12.25,12.0
97,3500000,7554,0.61,0.52,0.57,2072645,109.0,92,60,44,25.0,0.0,6.25
103,20000000,14575,0.7,0.68,0.71,11036366,522.0,44,88,44,18.75,28.5,26.25
125,12500000,18421,0.7,0.72,0.67,326095,11.0,32,0,0,25.75,1.75,18.5
94,3000000,26674,0.73,0.82,0.7,2912606,122.0,76,69,95,0.0,0.0,25.0
84,,2922,0.55,0.18,0.45,33223,4.0,45,0,22,22.75,9.75,3.5
144,9600000,8882,0.67,0.25,0.47,2484186,56.0,42,18,28,0.0,0.0,0.0
84,450000,11329,0.7,0.74,0.62,379418,14.0,0,40,39,9.75,8.5,9.0
89,,2936,0.62,0.2,0.41,2808241,217.0,92,100,61,0.0,0.0,0.0
122,11000000,6914,0.67,0.43,0.55,440793,32.0,26,28,83,0.0,25.0,0.0
100,,3816,0.67,0.93,0.84,652163,169.0,49,88,100,3.0,4.0,0.0
85,,7386,0.52,,,1286,3.0,11,40,23,0.0,15.5,16.25
92,16000000,22260,0.63,,0.62,9016782,1555.0,27,100,85,11.5,18.75,18.5
93,15500000,3544,0.58,0.12,0.34,1237615,1163.0,35,98,100,9.0,24.75,15.5
87,1000000,2364,0.59,0.6,0.56,129664,13.0,0,0,0,19.25,10.75,25.0
114,,7917,0.63,0.9,0.77,22453,5.0,85,63,80,18.5,22.25,12.5
111,,4453,0.6,0.38,0.56,221574,56.0,13,46,37,0.0,0.0,0.0
115,500000,6294,0.68,0.75,0.8,19700032,2264.0,0,23,34,0.0,7.25,0.0
115,5000000,11361,0.75,0.69,0.68,20678,1.0,0,0,49,9.25,6.0,4.0
86,33100000,11691,0.52,0.14,0.36,16809014,2464.0,45,69,100,8.25,8.25,27.25
135,16000000,5839,0.67,0.49,0.6,1669971,67.0,38,28,47,4.5,0.0,0.0
94,1000000,13141,0.66,0.76,0.71,808221,55.0,20,20,59,7.25,3.75,12.25
93,,6346,0.56,0.19,0.33,370627,43.0,13,13,71,4.5,3.75,18.75
90,1700000,2170,0.58,0.36,0.38,30142,15.0,0,29,0,0.0,1.25,6.0
90,2000000,21368,0.75,0.89,0.71,1452402,65.0,34,34,38,0.0,21.25,25.0
83,200000,1373,0.63,0.37,0.43,6364,6.0,30,0,0,0.0,5.5,4.5
68,20000000,5613,0.64,0.8,0.64,18098433,2529.0,32,49,93,0.0,17.0,1.25
158,,6037,0.62,0.83,,1411065,63.0,35,95,100,13.75,16.25,14.75
99,8000000,5437,0.55,0.4,0.44,127188,17.0,0,0,0,10.75,8.5,9.75
73,1600000,6991,0.66,,0.63,145382,32.0,36,100,49,0.0,0.0,0.0
102,,3695,0.58,0.15,0.41,38922,6.0,12,29,15,0.0,0.0,0.0
103,,2840,0.63,0.5,0.47,2150,1.0,21,20,32,7.75,6.25,5.75
91,,4444,0.66,0.32,0.51,181872,47.0,0,31,0,0.0,0.0,6.75
95,,7804,0.27,0.13,0.31,10223896,1608.0,24,100,41,12.5,21.0,17.0
96,,5884,0.63,0.19,0.45,16334,4.0,34,0,0,23.25,19.25,16.25
98,3500000,7856,0.64,0.4,0.56,107492,10.0,21,44,30,5.25,0.0,0.0
104,14000000,6414,0.55,0.42,0.54,1180560,277.0,70,100,43,35.0,31.0,5.5
105,7574500,9575,0.66,0.36,0.33,23106,7.0,12,47,18,14.0,0.0,21.0
110,1000000,3354,0.73,0.85,0.75,1706325,47.0,0,0,0,3.25,6.5,3.75
94,12000000,8242,0.69,,,27000,5.0,0,0,48,13.5,12.75,12.0
101,20000000,2932,0.62,0.26,0.47,375474,64.0,33,56,44,6.75,1.75,1.75
93,,3808,0.67,0.11,0.44,13334,21.0,0,0,87,3.75,3.75,0.0
140,8833750,6225,0.7,0.94,0.87,196857,8.0,0,39,76,0.0,0.0,0.0
108,1500000,1334,0.62,0.59,0.74,75828,7.0,0,0,0,4.5,0.0,0.0
93,,15632,0.74,0.84,0.61,121390,6.0,31,30,45,0.0,0.0,0.0
108,10000000,4687,0.7,0.4,0.45,11748661,1162.0,43,100,77,6.25,6.25,12.0
124,8000000,4754,0.77,,,56823,7.0,14,14,14,25.0,26.25,7.5
90,25000000,6773,0.32,0.13,0.31,12834849,1912.0,31,75,61,24.75,23.25,16.75
91,500000,7337,0.66,0.6,0.54,154187,16.0,0,18,19,15.5,0.0,6.25
100,12000000,7280,0.73,0.93,0.82,870067,42.0,10,16,32,9.0,9.25,0.0
88,2000000,1182,0.39,,,17986,5.0,0,46,0,2.75,18.75,21.25
106,750000,1376,0.61,0.12,0.21,20149,9.0,0,71,100,5.25,0.0,7.0
91,750000,2545,0.59,,0.38,537667,701.0,19,100,63,0.0,0.0,0.0
95,25000000,5257,0.42,0.06,0.19,5654777,1132.0,0,49,57,17.25,14.25,0.0
120,7000000,2801,0.69,0.53,0.61,234750,26.0,0,0,99,0.0,4.5,10.0
103,9000000,8096,0.57,0.28,0.43,1530535,260.0,69,100,94,17.0,3.5,6.75
121,7650000,8709,0.56,0.31,0.53,8224288,2251.0,38,75,61,18.25,15.0,17.75
173,,3715,0.74,,,44133,17.0,35,87,79,13.0,14.75,14.75
105,1500000,841,0.65,0.6,0.61,3127472,63.0,53,100,27,5.0,15.5,16.75
86,,1331,0.61,0.42,0.37,431513,48.0,70,47,100,1.0,14.5,5.0
95,,2905,0.62,0.39,0.48,24098,6.0,22,63,43,6.5,4.25,7.75
101,,2991,0.41,,,117450119,3876.0,0,0,35,0.0,0.0,0.0
108,750000,2851,0.76,0.7,0.67,1717595,20.0,0,65,32,21.25,16.0,13.25
100,3000000,2154,0.52,0.07,0.3,12460,13.0,64,0,62,13.25,11.25,11.5
85,,3864,0.65,0.71,0.71,924260,127.0,43,65,30,11.75,14.5,8.5
87,500000,1367,0.57,0.73,0.57,150142,8.0,0,0,39,3.5,1.5,25.0
80,,1850,0.49,0.53,0.62,5642,3.0,36,0,0,0.0,0.0,0.0
97,9000000,2702,0.43,0.08,0.29,1069318,1304.0,63,91,100,52.75,39.5,35.5
90,30000000,1006,0.49,0.11,0.46,32172757,2605.0,27,17,17,0.0,4.5,0.0
90,,965,0.66,0.59,0.6,97848,5.0,57,0,27,0.0,10.25,25.0
126,,4307,0.46,,,340091,40.0,31,27,100,6.75,24.75,20.0
99,,2854,0.6,0.54,0.48,309404,17.0,0,0,0,7.0,7.0,6.25
105,,6951,0.66,0.77,0.58,259291,41.0,29,32,33,0.0,11.25,0.0
93,,1630,0.64,0.69,0.67,45082,11.0,57,28,28,0.0,0.0,0.0
95,,3003,0.7,0.67,0.62,186912,33.0,86,59,35,17.5,0.0,15.0
95,15000000,3440,0.42,0.02,0.11,4008527,1508.0,22,45,45,0.0,7.0,0.0
105,4000000,1905,0.44,0.32,0.46,15778152,983.0,43,72,100,14.25,11.75,13.5
88,,1896,0.62,0.27,0.38,153122,7.0,82,83,0,0.0,0.0,0.0
84,,2165,0.67,0.55,0.53,13510,3.0,56,0,0,0.0,0.0,0.0
80,500000,5133,0.61,0.58,0.63,423,1.0,8,69,100,0.0,0.0,0.0
85,,808,0.66,0.73,,406,1.0,55,61,55,7.75,7.75,26.25
110,,1585,0.68,0.68,0.58,60729,8.0,0,37,0,9.25,0.0,0.0
109,,1685,0.69,0.85,0.84,103509,5.0,17,18,16,0.0,0.0,0.0
103,500000,1219,0.62,0.06,0.41,40981,2.0,64,0,60,0.0,41.0,0.0
102,1200000,363,0.7,,,72810,5.0,0,0,91,0.0,0.0,0.0
102,,777,0.74,0.82,0.54,22121,1.0,0,0,0,0.0,17.5,16.75
75,,410,0.47,0.69,0.64,14677674,862.0,61,85,69,0.0,0.0,0.0
170,1440500,5619,0.62,0.83,,932509,51.0,18,66,100,4.5,5.5,5.25
93,2000000,924,0.52,0.32,0.46,2010,1.0,0,0,0,21.75,12.25,0.0
98,10000000,3062,0.54,0.42,0.53,887416,161.0,77,100,67,20.25,25.0,25.25
87,,2851,0.71,0.88,0.71,36608,1.0,17,25,0,0.0,0.0,0.0
90,,553,0.56,0.22,0.45,231609,58.0,0,27,0,10.5,19.5,16.75
130,,8169,0.73,,,802758,50.0,16,58,100,12.25,24.0,20.5
95,,224,0.6,0.44,0.43,1600,1.0,100,0,0,0.0,11.0,0.0
107,,857,0.64,0.15,0.47,32833,3.0,14,21,17,25.0,0.0,0.0
109,2092905,3006,0.72,,,940715,74.0,48,51,58,0.0,0.0,0.0
130,40000000,1060585,0.85,0.76,0.66,53089891,2305.0,26,72,100,15.0,23.0,33.5
151,90000000,1068475,0.85,0.91,0.85,132384315,3017.0,24,67,100,19.75,33.75,34.25
117,65000000,688919,0.77,0.6,0.52,210614939,3280.0,26,66,100,9.5,37.75,90.75
104,210000000,451870,0.67,0.58,0.58,234362462,3714.0,43,92,100,22.5,38.0,60.0
144,150000000,537380,0.8,0.94,0.8,167365000,3443.0,33,77,100,11.25,45.75,78.75
109,76000000,428687,0.79,0.92,0.84,35552383,1524.0,58,100,95,18.25,13.75,18.0
109,35000000,338570,0.69,0.75,0.62,124740460,2882.0,26,45,89,19.75,31.0,79.25
149,125000000,371042,0.66,0.24,0.46,217536138,3757.0,47,100,75,32.25,57.25,63.75
84,,131872,0.66,0.76,0.66,444093,130.0,64,70,77,22.0,22.25,11.5
139,40000000,270219,0.78,0.65,0.68,50866635,2465.0,24,72,95,2.25,18.25,56.75
117,120000000,326013,0.71,0.74,0.73,244082982,3988.0,40,75,100,16.0,26.75,38.75
105,20000000,136738,0.64,0.44,0.45,33889159,2631.0,18,61,100,13.25,32.75,31.75
117,55000000,403685,0.8,0.67,0.64,162586036,3169.0,31,57,87,14.25,47.75,30.75
120,10318311,84370,0.7,0.93,0.85,26623701,3202.0,80,53,49,0.0,0.0,24.75
101,8000000,408324,0.78,0.91,0.8,59891098,1602.0,68,81,100,33.5,24.0,35.0
129,45000000,313010,0.76,0.86,0.76,88634237,2867.0,22,74,100,34.25,50.75,49.5
104,85000000,218351,0.6,0.38,0.45,62615510,3030.0,30,76,100,8.5,42.25,22.5
143,100000000,461148,0.8,0.63,0.64,57377916,1920.0,17,47,49,30.0,31.5,45.75
154,270000000,259837,0.61,0.75,0.72,200120000,4065.0,31,49,100,17.25,28.0,63.0
126,150000000,304861,0.69,0.7,0.66,133501348,4059.0,35,98,100,21.5,27.0,21.0
95,15000000,69438,0.65,0.86,0.69,7802450,1946.0,39,67,100,0.0,0.0,15.25
99,40000000,129150,0.68,0.36,0.52,52330111,2645.0,39,100,87,42.0,49.5,53.75
104,12000000,104050,0.66,0.2,0.48,65328121,2647.0,43,68,100,22.75,38.75,50.0
134,135000000,102957,0.6,0.45,0.65,63478838,3026.0,31,92,100,27.25,44.75,30.0
151,225000000,611464,0.73,0.53,0.53,423315812,4133.0,38,67,100,29.75,48.75,79.75
108,72500000,153407,0.66,0.71,0.66,148213377,3803.0,14,50,100,3.25,52.75,47.25
107,15000000,148084,0.64,0.51,0.52,41778863,2621.0,42,100,88,16.25,4.0,31.0
125,50000000,202164,0.66,0.31,0.31,46982632,2932.0,38,100,98,10.5,29.5,56.0
147,60000000,218791,0.75,0.58,0.56,2223293,280.0,53,62,66,0.0,0.0,0.0
93,25000000,119702,0.58,0.43,0.41,54098051,2880.0,48,90,100,34.5,48.0,57.75
102,24000000,189652,0.72,0.77,0.63,70269899,3019.0,42,100,80,36.75,71.0,49.75
107,82500000,282437,0.64,0.33,0.45,137355633,3764.0,31,75,100,28.0,35.25,17.75
102,,79503,0.72,0.48,0.54,25343,9.0,12,8,8,9.5,19.25,9.75
